"Date","Day","Month","Year","Type","Country","Area","Location","Activity","Sex","Age","Injury","Fatal..Y.N.","Species","address","latitude","longitude"
"2-Sep-17",2,"Sep",2017,"Unprovoked","USA","Florida","New Smyrna Beach, Volusia County","Surfing","M",17,"Minor injury to right hand","N","Unknown","New Smyrna Beach, Volusia County , Florida , USA",29.02716,-80.92303
"29-Aug-17",29,"Aug",2017,"Unprovoked","AUSTRALIA","Victoria","Cathedral Rock","Surfing","M",37,"No injury, board bitten","N","White shark","Cathedral Rock , Victoria , AUSTRALIA",-38.0493544162037,145.263757735916
"27-Aug-17",27,"Aug",2017,"Unprovoked","USA","Florida","Bathtub Beach","Walking","F",3,"Leg injured","N","Unknown","Bathtub Beach , Florida , USA",27.17753,-80.15862
"10-Aug-17",10,"Aug",2017,"Unprovoked","USA","South Carolina","Sea Pines Resort, Hilton Head Island, Beaufort County","Swimming","M",13,"Minor cuts to sole & toes of left foot","N","Unknown","Sea Pines Resort, Hilton Head Island, Beaufort County , South Carolina , USA",32.1556800000001,-80.76707
"5-Aug-17",5,"Aug",2017,"Unprovoked","EGYPT","Red Sea Protectorate","Marsa Ghalib","Snorkeling","F",20,"Bite to right leg/hip","N","Oceanic whitetip shark","Marsa Ghalib , Red Sea Protectorate , EGYPT",31.27401,31.01473
"31-Jul-17",31,"Jul",2017,"Unprovoked","USA","Florida","Jacksonvlle, Duval County","Paddle and Boogie boarding","M",15,"Lacerations to lower leg","N","Unknown","Jacksonvlle, Duval County , Florida , USA",30.33147,-81.65622
"24-Jul-17",24,"Jul",2017,"Unprovoked","ST HELENA, British overseas territory","Ascension Island","English Bay","Surfing","M",37,"Torso bitten","N","Unknown","English Bay , Ascension Island , ST HELENA, British overseas territory",-7.94355936099993,-14.3671145939999
"20-Jul-17",20,"Jul",2017,"Boating","USA","California","Stearns Wharf, Santa Barbara","Kayaking","M",40,"No injury, kayak bitten","N","White shark","Stearns Wharf, Santa Barbara , California , USA",34.41418,-119.69187
"9-Jul-17",9,"Jul",2017,"Unprovoked","USA","Florida","Haulover Beach, Miami-Dade County","Swimming","M",46,"Lower legs bitten","N","Bull shark","Haulover Beach, Miami-Dade County , Florida , USA",25.9199300000001,-80.1230899999999
"7-Jul-17",7,"Jul",2017,"Provoked","MEXICO","Tabasco","S?nchez Magallanes, C?rdenas","Fishing","M",32,"Hand bitten by hooked shark PROVOKED INCIDENT","N","Tiger shark","S?nchez Magallanes, C?rdenas , Tabasco , MEXICO",18.2011972525032,-93.8736323730746
"7-Jul-17",7,"Jul",2017,"Unprovoked","SOUTH AFRICA","Eastern Cape Province","Nahoon Reef, East London","Surfing","F",13,"No injury, shark bit surfboard","N","White shark","Nahoon Reef, East London , Eastern Cape Province , SOUTH AFRICA",-33.0152399999999,27.90396
"21-Jun-17",21,"Jun",2017,"Unprovoked","USA","South Carolina","South Forest Beach, Hilton Head Island, Beaufort County","Swimming","F",16,"Left foot bitten","N","Unknown","South Forest Beach, Hilton Head Island, Beaufort County , South Carolina , USA",32.1378646854085,-80.7624746282415
"18-Jun-17",18,"Jun",2017,"Unprovoked","USA","South Carolina","Burkes Beach, Hilton Head, Beaufort County","Swimming","F",14,"Leg bitten","N","Bull shark","Burkes Beach, Hilton Head, Beaufort County , South Carolina , USA",32.1942100000001,-80.69783
"18-Jun-17",18,"Jun",2017,"Unprovoked","REUNION",NA,"Roches Noire","Paddle and Boogie boarding","M",34,"No injury, shark bit surfboard","N","Bull shark","Roches Noire , NA , REUNION",-21.0531799999999,55.22799
"17-Jun-17",17,"Jun",2017,"Unprovoked","SPAIN","Ibiza Island","Playa d?en Bossa","Swimming","M",82,"2-inch laceration to hand","N","Unknown","Playa d?en Bossa , Ibiza Island , SPAIN",38.9062500000001,1.41954000000004
"11-Jun-17",11,"Jun",2017,"Unprovoked","AUSTRALIA","Western Australia","Point Casuarina, Bunbury","Paddle and Boogie boarding","M",48,"No injury, board bitten","N","White shark","Point Casuarina, Bunbury , Western Australia , AUSTRALIA",-33.3150511538532,115.63676658924
"10-Jun-17",10,"Jun",2017,"Unprovoked","USA","Florida","Ponce Inlet, Volusia County","Surfing","M",19,"Laceration to left foot","N","Unknown","Ponce Inlet, Volusia County , Florida , USA",29.12154,-80.9520899999999
"7-Jun-17",7,"Jun",2017,"Unprovoked","UNITED KINGDOM","South Devon","Bantham Beach","Surfing","M",30,"Bruise to leg, cuts to hand sustained when he hit the shark","N","Unknown","Bantham Beach , South Devon , UNITED KINGDOM",50.2785500000001,-3.87045999999998
